method,degradation,degraded_cosine,restored_cosine,gain,num_samples
A5,blur,0.9913953507784754,0.9928329605609179,0.0014376097824424505,256
A5,haze,0.7957916457053216,0.9365800096275052,0.14078836392218363,256
A5,inpainting,0.9023649689625017,0.9978094978723675,0.09544452890986577,256
A5,lowlight,0.921722698258236,0.9859480918385088,0.0642253935802728,256
A5,noise,0.9689115355722606,0.9974384419620037,0.02852690638974309,256
A5,rain,0.9903962819371372,0.99731859494932,0.0069223130121827126,256
A5,snow,0.6164573546211614,0.9379540356676443,0.321496681046483,256
Restormer,blur,0.9913953507784754,0.9943403063807636,0.002944955602288246,256
Restormer,haze,0.7957916457053216,0.9229788886004826,0.12718724289516103,256
Restormer,inpainting,0.9023649689625017,0.9981448790058494,0.09577991004334763,256
Restormer,lowlight,0.921722698258236,0.9693392685148865,0.04761657025665045,256
Restormer,noise,0.9689115355722606,0.9970267449971288,0.028115209424868226,256
Restormer,rain,0.9903962819371372,0.9952011615969241,0.00480487965978682,256
Restormer,snow,0.6164573546211614,0.9321486950939288,0.3156913404727675,256
DehazeFormer,blur,0.9913953507784754,0.9904142526211217,-0.0009810981573536992,256
DehazeFormer,haze,0.7957916457053216,0.9121924258706713,0.11640078016534972,256
DehazeFormer,inpainting,0.9023649689625017,0.9992315506096929,0.0968665816471912,256
DehazeFormer,lowlight,0.921722698258236,0.9791403317358345,0.05741763347759843,256
DehazeFormer,noise,0.9689115355722606,0.9980085878632963,0.029097052291035652,256
DehazeFormer,rain,0.9903962819371372,0.9884149273857474,-0.0019813545513898134,256
DehazeFormer,snow,0.6164573546211614,0.9337299333419651,0.3172725787208037,256
